Student_ID,Department,Graduation_Year,CGPA,Internship,Placement_Status,Company,Job_Role,Salary_LPA,Location
STU0045,Computer Science & Engineering,2024,8.21,Yes,Placed,TCS,Software Engineer,6.64,Noida
STU0046,Information Technology,2025,7.45,Yes,Placed,Cognizant,QA Engineer,6.78,Noida
STU0047,Computer Science & Engineering,2023,7.32,Yes,Placed,Deloitte,Cloud Associate,10.23,Bangalore
STU0048,Computer Science & Engineering,2023,6.89,Yes,Placed,Cognizant,Cloud Associate,4.77,Pune
STU0049,Electronics & Communication,2025,8.86,Yes,Placed,Cisco,Software Engineer,20.58,Noida
STU0050,Computer Science & Engineering,2023,8.12,Yes,Placed,Oracle,Full Stack Developer,18.2,Chennai
STU0051,Mechanical Engineering,2026,9.35,Yes,Placed,Infosys,Full Stack Developer,5.96,Bangalore
STU0052,Mechanical Engineering,2025,8.76,Yes,Placed,TCS,Software Engineer,5.67,Hyderabad
STU0053,Electronics & Communication,2023,8.08,Yes,Placed,Wipro,Cloud Associate,5.48,Bangalore
STU0054,Computer Science & Engineering,2024,9.13,Yes,Placed,Accenture,Cloud Associate,5.77,Bangalore
STU0055,Civil Engineering,2026,7.62,Yes,Placed,Microsoft,Software Engineer,20.55,Noida
STU0056,Mechanical Engineering,2025,8.62,Yes,Placed,Microsoft,Full Stack Developer,29.41,Chennai
STU0057,Information Technology,2025,8.75,No,Placed,Infosys,Full Stack Developer,6.17,Hyderabad
STU0058,Information Technology,2026,9.12,Yes,Placed,Accenture,Systems Engineer,7.96,Bangalore
STU0059,Computer Science & Engineering,2024,7.38,Yes,Placed,Infosys,Cloud Associate,6.62,Hyderabad
STU0060,Electronics & Communication,2025,7.69,No,Unplaced,,,,
STU0061,Information Technology,2025,9.18,Yes,Placed,Oracle,Full Stack Developer,15.51,Bangalore
STU0062,Information Technology,2024,6.98,Yes,Placed,Amazon,Cloud Associate,21.59,Gurgaon
STU0063,Mechanical Engineering,2025,7.89,Yes,Placed,Wipro,Full Stack Developer,6.1,Bangalore
STU0064,Computer Science & Engineering,2023,7.32,Yes,Placed,Oracle,Data Analyst,18.51,Hyderabad
STU0065,Computer Science & Engineering,2026,8.9,Yes,Placed,Google,Full Stack Developer,30.09,Hyderabad
STU0066,Information Technology,2026,6.66,Yes,Placed,JP Morgan,Software Engineer,20.09,Bangalore
STU0067,Information Technology,2024,8.08,No,Placed,Deloitte,Software Engineer,11.7,Pune
STU0068,Computer Science & Engineering,2025,7.5,Yes,Placed,Deloitte,QA Engineer,7.81,Gurgaon
STU0069,Mechanical Engineering,2024,7.51,No,Placed,Deloitte,Full Stack Developer,9.92,Hyderabad
STU0070,Civil Engineering,2026,8.93,No,Placed,TCS,Full Stack Developer,6.57,Bangalore
STU0071,Civil Engineering,2026,7.57,No,Placed,JP Morgan,Software Engineer,17.32,Chennai
STU0072,Computer Science & Engineering,2023,7.45,No,Unplaced,,,,
STU0073,Electronics & Communication,2024,7.24,Yes,Placed,Infosys,QA Engineer,6.66,Gurgaon
STU0074,Computer Science & Engineering,2025,7.25,Yes,Placed,Cisco,Business Analyst,19.07,Hyderabad
STU0075,Computer Science & Engineering,2026,7.63,Yes,Placed,Capgemini,Software Engineer,5.43,Gurgaon
STU0076,Mechanical Engineering,2023,8.64,Yes,Placed,Amazon,Systems Engineer,29.36,Pune
STU0077,Civil Engineering,2026,7.19,No,Placed,Infosys,Business Analyst,7.5,Bangalore
STU0078,Information Technology,2026,9.9,Yes,Placed,Accenture,Software Engineer,7.98,Pune
STU0079,Electronics & Communication,2024,7.08,No,Unplaced,,,,
STU0080,Computer Science & Engineering,2025,6.95,Yes,Placed,Cognizant,Software Engineer,4.82,Pune
STU0081,Electronics & Communication,2026,7.18,Yes,Unplaced,,,,
STU0082,Electronics & Communication,2024,8.6,Yes,Placed,Infosys,Cloud Associate,6.53,Hyderabad
STU0083,Computer Science & Engineering,2024,7.81,Yes,Placed,Capgemini,Software Engineer,8.28,Bangalore
STU0084,Mechanical Engineering,2024,8.28,Yes,Placed,Cisco,Software Engineer,14.36,Mumbai
STU0085,Mechanical Engineering,2023,6.64,No,Unplaced,,,,
STU0086,Electronics & Communication,2023,8.21,Yes,Placed,Oracle,Cloud Associate,14.24,Bangalore
STU0087,Computer Science & Engineering,2025,6.0,Yes,Placed,Cisco,Full Stack Developer,20.78,Pune
STU0088,Computer Science & Engineering,2024,7.2,No,Unplaced,,,,
STU0089,Mechanical Engineering,2025,6.52,Yes,Placed,JP Morgan,Data Analyst,23.88,Chennai
STU0090,Computer Science & Engineering,2026,7.05,Yes,Placed,Microsoft,Data Analyst,27.42,Pune
STU0091,Information Technology,2023,6.0,Yes,Placed,Accenture,DevOps Engineer,5.12,Chennai
STU0092,Electronics & Communication,2024,7.8,No,Placed,Deloitte,Data Analyst,8.07,Hyderabad
STU0093,Civil Engineering,2025,6.74,Yes,Unplaced,,,,
STU0094,Mechanical Engineering,2024,8.18,No,Placed,Capgemini,Cloud Associate,6.28,Bangalore
STU0095,Civil Engineering,2025,7.48,Yes,Unplaced,,,,
STU0096,Information Technology,2025,7.91,Yes,Placed,IBM,Full Stack Developer,11.68,Gurgaon
STU0097,Computer Science & Engineering,2023,7.36,Yes,Unplaced,,,,
STU0098,Electronics & Communication,2025,7.83,No,Unplaced,,,,
STU0099,Electronics & Communication,2025,6.89,No,Placed,Infosys,Systems Engineer,6.79,Hyderabad
STU0100,Electronics & Communication,2023,7.06,No,Unplaced,,,,
STU0101,Information Technology,2024,7.37,Yes,Unplaced,,,,
STU0102,Electronics & Communication,2023,7.99,Yes,Placed,TCS,QA Engineer,4.82,Bangalore
STU0103,Electronics & Communication,2025,7.13,Yes,Placed,Infosys,Software Engineer,5.13,Bangalore
STU0104,Information Technology,2024,7.73,Yes,Placed,Capgemini,Software Engineer,7.78,Gurgaon
STU0105,Information Technology,2023,7.5,Yes,Placed,TCS,Software Engineer,6.9,Noida
STU0106,Information Technology,2023,8.68,Yes,Placed,IBM,Software Engineer,10.6,Chennai
STU0107,Computer Science & Engineering,2025,8.5,Yes,Placed,Deloitte,Data Analyst,8.39,Chennai
STU0108,Civil Engineering,2025,7.41,Yes,Placed,IBM,DevOps Engineer,10.04,Bangalore
STU0109,Information Technology,2024,6.82,Yes,Placed,TCS,Full Stack Developer,4.11,Bangalore
STU0110,Information Technology,2024,6.74,Yes,Placed,Capgemini,Full Stack Developer,7.21,Hyderabad
STU0111,Computer Science & Engineering,2026,7.1,Yes,Placed,TCS,Data Analyst,5.32,Bangalore
STU0112,Information Technology,2024,8.97,Yes,Placed,Cisco,Cloud Associate,16.27,Pune
STU0113,Computer Science & Engineering,2025,8.35,No,Placed,TCS,Systems Engineer,5.79,Bangalore
STU0114,Electronics & Communication,2026,8.46,Yes,Placed,Accenture,Software Engineer,7.03,Bangalore
STU0115,Computer Science & Engineering,2026,8.25,Yes,Placed,IBM,Full Stack Developer,6.71,Chennai
STU0116,Computer Science & Engineering,2023,8.44,Yes,Placed,Microsoft,Cloud Associate,23.64,Noida
STU0117,Computer Science & Engineering,2024,9.3,No,Placed,Accenture,Full Stack Developer,7.28,Chennai
STU0118,Civil Engineering,2026,7.53,No,Placed,Infosys,Business Analyst,6.42,Hyderabad
STU0119,Computer Science & Engineering,2026,7.59,Yes,Unplaced,,,,
STU0120,Mechanical Engineering,2026,9.68,Yes,Placed,Amazon,Software Engineer,23.56,Noida
STU0121,Computer Science & Engineering,2024,8.48,Yes,Placed,Amazon,Software Engineer,19.57,Chennai
STU0122,Computer Science & Engineering,2024,6.7,Yes,Placed,Capgemini,Software Engineer,6.49,Gurgaon
STU0123,Electronics & Communication,2025,7.71,Yes,Placed,Deloitte,Data Analyst,10.51,Hyderabad
STU0124,Electronics & Communication,2025,7.16,Yes,Placed,JP Morgan,Software Engineer,16.54,Chennai
STU0125,Electronics & Communication,2023,6.61,Yes,Placed,Accenture,Cloud Associate,8.32,Mumbai
STU0126,Computer Science & Engineering,2026,7.15,Yes,Placed,Deloitte,Systems Engineer,7.69,Hyderabad
STU0127,Computer Science & Engineering,2025,8.14,Yes,Placed,Capgemini,Full Stack Developer,6.42,Hyderabad
STU0128,Information Technology,2025,8.59,No,Placed,Capgemini,Software Engineer,7.49,Pune
STU0129,Computer Science & Engineering,2023,7.52,Yes,Placed,TCS,Cloud Associate,5.34,Gurgaon
STU0130,Electronics & Communication,2026,8.48,Yes,Placed,Capgemini,Systems Engineer,7.31,Bangalore
STU0131,Computer Science & Engineering,2024,7.36,No,Placed,Deloitte,Full Stack Developer,9.52,Hyderabad
STU0132,Information Technology,2024,7.21,Yes,Placed,Deloitte,Systems Engineer,9.83,Bangalore
STU0133,Information Technology,2026,7.43,Yes,Unplaced,,,,
STU0134,Mechanical Engineering,2024,9.7,Yes,Placed,Wipro,Software Engineer,5.07,Bangalore
STU0135,Information Technology,2023,7.99,No,Placed,Wipro,QA Engineer,5.31,Hyderabad
STU0136,Computer Science & Engineering,2026,8.29,Yes,Placed,Capgemini,DevOps Engineer,5.07,Pune
STU0137,Computer Science & Engineering,2026,6.78,No,Placed,Wipro,Business Analyst,6.8,Hyderabad
STU0138,Computer Science & Engineering,2025,7.49,Yes,Unplaced,,,,
STU0139,Electronics & Communication,2025,8.36,Yes,Placed,Wipro,Data Analyst,4.71,Gurgaon
STU0140,Mechanical Engineering,2023,8.36,Yes,Placed,Cognizant,Data Analyst,5.96,Hyderabad
STU0141,Electronics & Communication,2024,7.9,Yes,Placed,Deloitte,Full Stack Developer,9.37,Bangalore
STU0142,Computer Science & Engineering,2026,9.39,Yes,Placed,Cisco,Software Engineer,15.93,Hyderabad
STU0143,Computer Science & Engineering,2024,7.37,No,Placed,Infosys,Full Stack Developer,6.23,Chennai
STU0144,Information Technology,2024,7.42,Yes,Placed,Infosys,Software Engineer,6.25,Bangalore
STU0145,Information Technology,2026,6.25,No,Unplaced,,,,
STU0146,Information Technology,2025,8.59,Yes,Placed,Wipro,Software Engineer,6.49,Mumbai
STU0147,Computer Science & Engineering,2023,6.1,Yes,Placed,Wipro,Software Engineer,5.7,Bangalore
STU0148,Computer Science & Engineering,2026,9.64,Yes,Placed,Cognizant,Full Stack Developer,5.55,Chennai
STU0149,Information Technology,2023,7.65,Yes,Placed,Infosys,DevOps Engineer,6.47,Hyderabad
STU0150,Information Technology,2025,8.21,Yes,Placed,Infosys,Cloud Associate,6.22,Bangalore
STU0151,Computer Science & Engineering,2025,6.61,No,Unplaced,,,,
STU0152,Information Technology,2025,8.63,No,Placed,TCS,Full Stack Developer,6.87,Hyderabad
STU0153,Electronics & Communication,2025,7.04,No,Placed,Infosys,Software Engineer,6.17,Mumbai
STU0154,Computer Science & Engineering,2025,6.83,Yes,Unplaced,,,,
STU0155,Computer Science & Engineering,2025,6.12,No,Unplaced,,,,
STU0156,Computer Science & Engineering,2026,9.48,Yes,Placed,JP Morgan,Data Analyst,16.71,Bangalore
STU0157,Computer Science & Engineering,2025,6.66,Yes,Unplaced,,,,
STU0158,Computer Science & Engineering,2025,7.62,No,Placed,Oracle,Full Stack Developer,19.03,Bangalore
STU0159,Electronics & Communication,2026,8.79,Yes,Placed,Deloitte,Software Engineer,11.47,Gurgaon
STU0160,Computer Science & Engineering,2025,8.44,Yes,Placed,Wipro,DevOps Engineer,4.52,Bangalore
STU0161,Mechanical Engineering,2023,7.17,No,Placed,Cognizant,Cloud Associate,6.77,Bangalore
STU0162,Electronics & Communication,2023,7.83,No,Unplaced,,,,
STU0163,Information Technology,2023,7.59,Yes,Placed,TCS,Software Engineer,5.34,Bangalore
STU0164,Computer Science & Engineering,2024,7.38,Yes,Placed,Deloitte,Systems Engineer,10.59,Gurgaon
STU0165,Electronics & Communication,2026,7.45,No,Placed,TCS,Full Stack Developer,6.97,Pune
STU0166,Mechanical Engineering,2026,8.29,Yes,Placed,Wipro,Systems Engineer,5.29,Bangalore
STU0167,Computer Science & Engineering,2025,8.7,Yes,Placed,Wipro,Full Stack Developer,6.9,Bangalore
STU0168,Information Technology,2023,9.28,Yes,Placed,Cognizant,Software Engineer,6.52,Bangalore
STU0169,Civil Engineering,2023,8.05,Yes,Placed,IBM,Systems Engineer,8.97,Hyderabad
STU0170,Electronics & Communication,2024,7.76,Yes,Placed,Cognizant,Software Engineer,5.28,Bangalore
STU0171,Electronics & Communication,2024,7.4,Yes,Placed,IBM,Software Engineer,10.71,Pune
STU0172,Computer Science & Engineering,2023,8.27,Yes,Placed,Microsoft,Data Analyst,24.39,Chennai
STU0173,Information Technology,2024,8.4,Yes,Placed,IBM,Data Analyst,11.92,Hyderabad
STU0174,Civil Engineering,2026,6.59,No,Unplaced,,,,
STU0175,Information Technology,2026,9.03,Yes,Placed,Microsoft,Full Stack Developer,27.54,Chennai
STU0176,Mechanical Engineering,2025,7.39,No,Unplaced,,,,
STU0177,Computer Science & Engineering,2023,6.69,No,Placed,Cognizant,Software Engineer,5.17,Pune
STU0178,Computer Science & Engineering,2026,6.32,No,Unplaced,,,,
STU0179,Mechanical Engineering,2024,7.99,No,Unplaced,,,,
STU0180,Civil Engineering,2024,7.81,Yes,Placed,Infosys,Software Engineer,5.46,Hyderabad
STU0181,Computer Science & Engineering,2025,7.46,No,Placed,Capgemini,Full Stack Developer,8.18,Hyderabad
STU0182,Computer Science & Engineering,2025,7.86,Yes,Placed,Deloitte,Data Analyst,8.54,Bangalore
STU0183,Electronics & Communication,2025,7.62,Yes,Placed,Cognizant,Systems Engineer,6.21,Hyderabad
STU0184,Computer Science & Engineering,2026,6.47,No,Unplaced,,,,
STU0185,Computer Science & Engineering,2025,8.29,Yes,Placed,Accenture,Systems Engineer,8.74,Pune
STU0186,Computer Science & Engineering,2025,8.05,Yes,Placed,Accenture,Systems Engineer,6.72,Bangalore
STU0187,Computer Science & Engineering,2025,7.84,No,Placed,JP Morgan,Software Engineer,18.59,Pune
STU0188,Computer Science & Engineering,2024,8.65,Yes,Placed,Google,Data Analyst,32.99,Bangalore
STU0189,Computer Science & Engineering,2026,7.46,Yes,Unplaced,,,,
STU0190,Computer Science & Engineering,2026,6.82,Yes,Placed,Cognizant,Software Engineer,5.89,Bangalore
STU0191,Electronics & Communication,2025,6.81,No,Unplaced,,,,
STU0192,Electronics & Communication,2024,8.78,Yes,Placed,Cognizant,Full Stack Developer,7.84,Chennai
STU0193,Information Technology,2024,8.69,Yes,Placed,Accenture,Cloud Associate,8.19,Bangalore
STU0194,Electronics & Communication,2023,7.52,Yes,Placed,Oracle,QA Engineer,15.56,Bangalore
STU0195,Information Technology,2025,7.69,Yes,Placed,Amazon,QA Engineer,24.09,Pune
STU0196,Information Technology,2025,7.96,Yes,Placed,Deloitte,Software Engineer,8.25,Bangalore
STU0197,Computer Science & Engineering,2024,7.04,Yes,Placed,Oracle,Data Analyst,14.66,Chennai
STU0198,Information Technology,2026,7.04,Yes,Placed,Accenture,Full Stack Developer,7.78,Bangalore
STU0199,Electronics & Communication,2025,9.3,Yes,Placed,Deloitte,Software Engineer,11.99,Chennai
STU0200,Computer Science & Engineering,2026,7.55,No,Placed,Capgemini,Cloud Associate,7.74,Bangalore
STU0201,Electronics & Communication,2025,7.93,No,Placed,TCS,Systems Engineer,5.52,Pune
STU0202,Electronics & Communication,2026,7.53,Yes,Placed,Accenture,Data Analyst,6.42,Bangalore
STU0203,Civil Engineering,2024,8.51,Yes,Placed,Wipro,Full Stack Developer,5.54,Chennai
STU0204,Computer Science & Engineering,2023,7.89,Yes,Placed,Oracle,Full Stack Developer,13.13,Hyderabad
STU0205,Computer Science & Engineering,2023,7.69,Yes,Placed,TCS,QA Engineer,4.33,Noida
STU0206,Information Technology,2024,6.93,Yes,Placed,Accenture,Cloud Associate,5.75,Hyderabad
STU0207,Information Technology,2024,8.44,Yes,Placed,Capgemini,Full Stack Developer,6.79,Bangalore
STU0208,Mechanical Engineering,2025,7.87,No,Placed,Accenture,Full Stack Developer,7.35,Chennai
STU0209,Electronics & Communication,2024,7.58,Yes,Placed,Deloitte,Data Analyst,10.62,Hyderabad
STU0210,Information Technology,2025,7.61,Yes,Placed,Wipro,Full Stack Developer,4.62,Hyderabad
STU0211,Information Technology,2023,7.04,Yes,Placed,Capgemini,Software Engineer,6.61,Bangalore
STU0212,Computer Science & Engineering,2024,8.58,Yes,Placed,Cisco,QA Engineer,14.91,Chennai
STU0213,Electronics & Communication,2024,8.03,Yes,Placed,JP Morgan,Full Stack Developer,18.5,Chennai
STU0214,Computer Science & Engineering,2025,8.73,Yes,Placed,Deloitte,Software Engineer,8.43,Bangalore
STU0215,Information Technology,2023,8.55,Yes,Placed,Cognizant,Software Engineer,5.94,Bangalore
STU0216,Mechanical Engineering,2024,7.76,No,Unplaced,,,,
STU0217,Computer Science & Engineering,2025,7.28,Yes,Placed,Infosys,Full Stack Developer,7.31,Noida
STU0218,Mechanical Engineering,2026,7.26,Yes,Unplaced,,,,
STU0219,Computer Science & Engineering,2024,8.01,Yes,Placed,Wipro,Full Stack Developer,5.66,Pune
STU0220,Electronics & Communication,2026,8.5,Yes,Placed,JP Morgan,DevOps Engineer,18.28,Gurgaon
STU0221,Mechanical Engineering,2026,8.52,Yes,Placed,Accenture,QA Engineer,7.9,Hyderabad
STU0222,Computer Science & Engineering,2023,8.29,Yes,Placed,Accenture,DevOps Engineer,8.27,Hyderabad
STU0223,Computer Science & Engineering,2023,7.99,Yes,Placed,Capgemini,Data Analyst,8.04,Pune
STU0224,Electronics & Communication,2023,7.48,Yes,Unplaced,,,,
STU0225,Information Technology,2023,8.22,Yes,Placed,TCS,Software Engineer,6.37,Pune
STU0226,Electronics & Communication,2025,7.57,No,Unplaced,,,,
STU0227,Information Technology,2025,7.84,Yes,Placed,Infosys,Software Engineer,6.41,Gurgaon
STU0228,Computer Science & Engineering,2026,7.14,Yes,Placed,Cognizant,QA Engineer,7.84,Bangalore
STU0229,Computer Science & Engineering,2026,8.66,Yes,Placed,TCS,Data Analyst,5.21,Hyderabad
STU0230,Computer Science & Engineering,2025,7.58,Yes,Placed,Accenture,Data Analyst,8.05,Pune
STU0231,Computer Science & Engineering,2023,6.99,No,Placed,Cognizant,Software Engineer,7.09,Pune
STU0232,Information Technology,2024,8.22,Yes,Placed,Cisco,Software Engineer,20.25,Gurgaon
STU0233,Mechanical Engineering,2024,9.09,Yes,Placed,Cisco,Software Engineer,20.87,Bangalore
STU0234,Electronics & Communication,2023,8.37,Yes,Placed,Amazon,Full Stack Developer,19.12,Noida
STU0235,Mechanical Engineering,2025,7.51,Yes,Placed,Google,Data Analyst,26.85,Gurgaon
STU0236,Civil Engineering,2026,7.35,Yes,Unplaced,,,,
STU0237,Computer Science & Engineering,2024,7.37,No,Unplaced,,,,
STU0238,Information Technology,2026,8.37,No,Unplaced,,,,
STU0239,Computer Science & Engineering,2026,8.9,Yes,Placed,Cisco,Cloud Associate,20.79,Bangalore
STU0240,Information Technology,2023,8.01,No,Unplaced,,,,
STU0241,Civil Engineering,2026,6.54,Yes,Unplaced,,,,
STU0242,Electronics & Communication,2024,7.69,Yes,Placed,Cisco,Business Analyst,16.33,Noida
STU0243,Information Technology,2024,8.28,Yes,Placed,TCS,Software Engineer,4.94,Hyderabad
STU0244,Computer Science & Engineering,2024,7.69,Yes,Placed,Accenture,Business Analyst,5.16,Bangalore
STU0245,Information Technology,2023,7.37,Yes,Placed,Wipro,Software Engineer,4.48,Chennai
STU0246,Mechanical Engineering,2026,9.35,Yes,Placed,Google,Systems Engineer,29.62,Bangalore
STU0247,Information Technology,2023,9.17,Yes,Placed,TCS,Full Stack Developer,6.17,Hyderabad
STU0248,Computer Science & Engineering,2023,6.95,Yes,Placed,Accenture,Full Stack Developer,7.59,Gurgaon
STU0249,Computer Science & Engineering,2023,8.4,Yes,Placed,JP Morgan,Full Stack Developer,21.82,Hyderabad
STU0250,Information Technology,2023,9.53,Yes,Placed,Microsoft,Data Analyst,29.92,Chennai
STU0251,Computer Science & Engineering,2024,6.38,No,Unplaced,,,,
STU0252,Information Technology,2026,7.53,No,Placed,Accenture,Cloud Associate,8.22,Gurgaon
STU0253,Information Technology,2025,8.81,Yes,Placed,Google,Software Engineer,25.02,Hyderabad
STU0254,Computer Science & Engineering,2023,9.9,Yes,Placed,Oracle,Business Analyst,18.19,Gurgaon
STU0255,Information Technology,2024,6.83,No,Placed,Accenture,Full Stack Developer,6.95,Pune
STU0256,Computer Science & Engineering,2025,9.9,Yes,Placed,Oracle,Full Stack Developer,19.59,Mumbai
STU0257,Electronics & Communication,2026,8.44,Yes,Placed,Google,Full Stack Developer,26.51,Pune
STU0258,Computer Science & Engineering,2023,7.73,Yes,Placed,Cognizant,Full Stack Developer,4.67,Hyderabad
STU0259,Mechanical Engineering,2024,6.72,No,Unplaced,,,,
STU0260,Information Technology,2026,8.98,Yes,Placed,Google,Full Stack Developer,24.21,Pune
STU0261,Information Technology,2025,7.64,No,Placed,IBM,Software Engineer,7.36,Bangalore
STU0262,Information Technology,2026,7.87,Yes,Placed,Cisco,Data Analyst,17.14,Hyderabad
STU0263,Information Technology,2024,7.25,Yes,Placed,Infosys,Business Analyst,4.75,Bangalore
STU0264,Mechanical Engineering,2024,6.87,No,Placed,TCS,Software Engineer,5.14,Bangalore
STU0265,Computer Science & Engineering,2024,9.16,Yes,Placed,JP Morgan,Software Engineer,16.28,Hyderabad
STU0266,Information Technology,2024,8.39,Yes,Placed,IBM,Cloud Associate,10.9,Pune
STU0267,Civil Engineering,2023,7.98,Yes,Placed,Capgemini,Data Analyst,5.35,Bangalore
STU0268,Information Technology,2024,8.39,Yes,Placed,IBM,Data Analyst,10.83,Hyderabad
STU0269,Computer Science & Engineering,2025,6.0,Yes,Unplaced,,,,
STU0270,Mechanical Engineering,2024,6.76,No,Unplaced,,,,
STU0271,Computer Science & Engineering,2024,6.9,Yes,Placed,Microsoft,Software Engineer,24.75,Hyderabad
STU0272,Computer Science & Engineering,2025,6.98,No,Placed,IBM,DevOps Engineer,7.24,Hyderabad
STU0273,Electronics & Communication,2025,8.63,No,Placed,Wipro,Full Stack Developer,5.75,Bangalore
STU0274,Computer Science & Engineering,2025,8.34,Yes,Placed,IBM,Software Engineer,7.6,Bangalore
STU0275,Computer Science & Engineering,2026,6.64,Yes,Placed,Accenture,Business Analyst,5.71,Hyderabad
STU0276,Mechanical Engineering,2024,7.81,No,Placed,Amazon,Business Analyst,19.17,Chennai
STU0277,Computer Science & Engineering,2023,7.26,No,Unplaced,,,,
STU0278,Mechanical Engineering,2025,7.02,No,Placed,Infosys,Full Stack Developer,6.92,Noida
STU0279,Mechanical Engineering,2026,7.27,Yes,Placed,Amazon,DevOps Engineer,31.99,Chennai
STU0280,Computer Science & Engineering,2025,8.0,Yes,Placed,IBM,Cloud Associate,7.94,Gurgaon
STU0281,Information Technology,2024,9.42,Yes,Placed,Accenture,Software Engineer,8.99,Hyderabad
STU0282,Electronics & Communication,2025,8.44,Yes,Placed,Accenture,Systems Engineer,6.9,Hyderabad
STU0283,Mechanical Engineering,2023,8.21,Yes,Unplaced,,,,
STU0284,Computer Science & Engineering,2024,8.11,Yes,Placed,Infosys,Software Engineer,5.28,Gurgaon
STU0285,Information Technology,2023,8.79,Yes,Placed,Deloitte,Full Stack Developer,11.97,Mumbai
STU0286,Computer Science & Engineering,2025,8.73,Yes,Placed,Deloitte,Software Engineer,10.36,Bangalore
STU0287,Information Technology,2026,8.85,Yes,Unplaced,,,,
